user_id,business_id,stars
HQG3no8C5U31z-k1MaYCqQ,bQ8ndy52Rcdv3uYvoJWQ_w,5
I7ouNLVfgzCxvXv6zLSluA,5CSGxhesXkz2XNQB8AP6Kw,4
JEawgTKkNprYfn5ApcNjiA,9SJ5sTileHeLXVMJrQiEDQ,5
zRQ4hwXi7mnDaquhMLySnQ,QdganL5AW9E_fNoRVroLig,3
KPjS9qvfX2ucNtFF--tZGw,t_yiQnxUDdPPCN2z4QyezA,3
BuGjP27rEGWlkGhzOcehpg,D6SCh4BwNb52wZIqXdS4JQ,4
HnCL6aPHe03y58pa-WxvAA,9A1C1f0m4nQltQrOOTl-Kw,3
PU9h4dA8YMF_3zUqlHe7rg,WTu8B3igPYJlkJ2gHzrBYw,5
QZ_Arlwoj0ghfBvg69rjOw,iLxG2Oo8HNSZFvJvba4W6g,3
Kc0AU2Zh9fXfICGy3RePYA,rWtglX0leY_pqi-UD820Ag,5
VBnl3Mpf-A3c6rgOT2Q-Qw,-1TUzO4XCmOeqi9eAGeDWA,5
WwXoJ6idwo-pxEnukA6zWQ,t_yiQnxUDdPPCN2z4QyezA,4
nXmEWl8bFM1JPwYh2j9oCA,LElQBiDw8HyU_LrbjP8C1A,4
IYJQXv-KtGjxO6ehyET0LQ,FeXsYKhyJ7F8t0-kn5JldQ,3
040MtSJQ6o6JmHeYlDfW2Q,uGxZdLLgMQDvFSqiXyCg_w,1
B2cAVkDQJ3GgLbYyMihaeg,-i3dOjumvOw-52aGXU1xDg,4
qBbnLq52HCkMScc3ap762A,r8h3_Chc7davvVelcvV-NQ,5
e4B-BZdJXAeuPnnuciCtOg,k9UXfEISfhf0X7hHWNW4dg,5
ITDsWBToxtTxRBruRsJDrw,_RMKXUoZOEzMVp5vzYtxOg,1
zun3MjjJmQumyVhpyfCSMA,syP9qsN2-TiMbxh2zv1_NQ,4
-GjTujQD9mebr-EujVRk_w,jUddhNjGAE6W7MQKaUEZ4Q,3
5poJpBnt87fF__FND8cAjw,PBmfdx-tC2D54FI3HtcKww,2
aHWoDwJPT5FGdkap5IKbBA,m6nLTIrEJHtHSYJjVavnzw,2
nvXjrr-MNo6s63dGnYLgXg,kNtToQSP_Y5U8tznLXuCaw,4
tbGkhIRQlaineYDsaGn93w,pFvyOYi1O5umrbzGVYSYKg,5
C_ZQrG6VyPTtCwUHSDJu7w,bBTJEjq5tmxNZq_9mDoPMQ,4
bSlU86AtLgeiQ2F6TXtQbA,c1KRfKtA3AUbf7r9utctVg,1
yrrK5TM5c7XjTPe78DYmcw,e9shtyZ7-9GYcbPIVV--XQ,3
hKBQ-PFlcB-t5FK3HUxoyQ,iO86eCaZJBHqi1sZ1ELk6A,1
8c53BdBWPcbioN3WZJWdCA,s173l3ubdDLHeFIBO3ydrw,3
3yGFaj4wrwXoKG1zGuMcVQ,y2V42mxWvVoH4NvUT_n8eg,3
D2s4OMWNUH3TlvKLrt2l0w,o13eH93qmWVNFZogkjhd9w,5
M3tQp7xCLCT4GpK2Zc25fA,ZePevVVz912OfLNUeB8SGQ,5
94Ocyk5AgwYgt4ghjdMl4Q,-hliqBp7tq7Z5XLaTLAXAg,1
-_YQv9cPTEQnAq7J-r6zpw,m6nLTIrEJHtHSYJjVavnzw,5
tlh11ftKJhJR6Wpu6KaFXQ,kNtToQSP_Y5U8tznLXuCaw,5
Tsk_1VBwDxEgdWsUhyLkVg,lWmDrnqgU6w3gFaJyn_1Uw,3
NAFABx0yBkXYtosg_LmyKw,VIJ2KiDKhUVhhpNylEIfog,5
1nQ9YYGxQTgon0T7VOsCzQ,HbK6IfznbVToEaKVC0WcSg,4
gF37cxBOnIi3ZoC6FKmu-Q,e9shtyZ7-9GYcbPIVV--XQ,5
bNd4Hr2onmYmu7TWbErhEQ,r8h3_Chc7davvVelcvV-NQ,5
mAbnow6mYnmgKDI_ewD-jg,yEe7d09rpD2u3WLNAKcdQw,1
B8WruADju0mx5FlkLfYYfw,a1sp-PiwbAthYG1JR8NfLg,1
doAaL7kpwNDmbmyPz6kAiw,9MnbQg7kfb_WgxoV0hXKSQ,5
Wv6ubAmrD2bL0ROVsOwoiw,vCopginiBsz1STNhQPb8XA,5
UrmiwFKoCqG88EZ0MI-BbQ,NFUINoS0tUsp3qy7wLIB1A,4
k6yIWgBW-up28RBEzkreCQ,m3qsb7Xf9Pivg9GAvx-gog,2
eG3dgpw1wKQAVQ6tpbUDQw,jUddhNjGAE6W7MQKaUEZ4Q,1
8qBX5aybgf7hMFzuLCi-zA,348w-oczUpMY3LN2J6vW5A,1
nxW6JqD03lSoCujwqYeYHA,k441Clzdv9Ia4QZanEne3g,5
uiU1-q2bnh8oEZYCK_xZhw,-S1BkxguVmi2G_O6Bcoabg,2
vZL9cjnya5jtAZR928m8VA,lrrUyxzlvqp-niBEj6_6dg,5
ktcokDtCeWxvWv6iq4JFyw,e9shtyZ7-9GYcbPIVV--XQ,3
nrt1X1_uReQZfcB8L3RN0g,t_yiQnxUDdPPCN2z4QyezA,4
KAsT9bKTSQ1Z3gdctRCTCg,SiJ8eALRBJvrLnY5PDj9bA,5
7AUsHppx9lSRnr4v62H4Dg,asCPMMAA1wW3GJvrPA4fTA,3
GKRuDYjZPrddCgOPJ2M3Pw,yh-JA5fV2QkGaBUjfvioIQ,5
4HvIzTHB9o-aI6M8IO3SPQ,-fiUXzkxRfbHY9TKWwuptw,5
7vHLPIU9k1QNQq-TnW_l4w,9svP2izKnYwql7Wj2ReMdA,5
sNpUeQG_65Ph6UWrzM5g9g,ZiLOXVloAOtr9_cpQTpr8g,3
JMC-c80zYOx-T6xmC95lrw,cDGaMsCAx8guR1IUrxLxWA,2
to6EqIcokt00jNZ9Tf4YcQ,RWd83o4drIOE60W1meaESA,1
